[0.00s -> 2.16s]  All right, guys.
[2.16s -> 3.16s]  Welcome to Wolfies World.
[3.16s -> 4.16s]  I'm your host, Brian.
[4.16s -> 8.04s]  I'm on an absolute heater with the podcast right now.
[8.04s -> 13.96s]  Just bringing in banger guest after banger guest and this guy here today leads up there
[13.96s -> 15.96s]  with everyone that I've ever talked to.
[15.96s -> 21.32s]  Couldn't be more excited from a personal standpoint, you know, from a podcast standpoint
[21.32s -> 22.32s]  in the audience.
[22.32s -> 25.96s]  You know, you guys are going to really love getting to know Johnny.
[25.96s -> 29.16s]  Johnny's just a super passionate kid in the sport.
[29.20s -> 32.48s]  I say kid because I'm so much older than him, but you know what I mean.
[32.48s -> 41.32s]  Met him back in February at Black Canyon when he asked to come up and help crew with Elliot
[41.32s -> 46.32s]  and was just really, I was just really drunk off of his high on the sport, man.
[46.32s -> 50.32s]  I mean, this guy just is drinking at both ends, burning the candle at both ends.
[50.32s -> 54.64s]  He's just on fire for the sport and he's really done some incredible things personally, but
[54.64s -> 60.24s]  I'm really excited and want to share how much he gives back or how much he's wanting to
[60.24s -> 62.24s]  learn from others in the sport.
[62.24s -> 65.28s]  And I think it's just really encouraging for everybody out there.
[65.28s -> 67.12s]  So super excited to bring on Johnny.
[67.48s -> 68.36s]  Johnny, good morning.
[68.36s -> 69.96s]  It's five something a.m.
[69.96s -> 70.96s]  here in Arizona.
[70.96s -> 71.96s]  Yeah, it is.
[71.96s -> 76.16s]  I had to spike my coffee with a little extra caffeine from the guys over at Hyperlite.
[76.16s -> 78.64s]  So I think we're going to be juiced to the gills and ready to go.
[78.64s -> 79.44s]  How are you doing this morning?
[80.16s -> 80.76s]  Great, man.
[80.76s -> 85.76s]  And it's this is probably one of the most unique ways I've ever started my morning.
[86.16s -> 86.40s]  Right.
[86.40s -> 92.16s]  So yeah, I take for granted how natural or how second nature it is for me to just hit
[92.16s -> 93.44s]  record on these things and go.
[93.44s -> 98.56s]  But I remember my first one, it was actually after Black Canyon a couple of years ago,
[99.08s -> 106.04s]  I hopped on a podcast with Joe Corcion, just reliving my experience, crewing and pacing
[106.68s -> 111.44s]  professional like Elliot, you know, from the 95 perspective and getting the crew with him.
[111.44s -> 112.76s]  And I was nervous, man.
[112.76s -> 117.08s]  I was sweating to get on the podcast and and now it's it's so simple.
[117.08s -> 120.48s]  So yeah, no, I mean, you're natural at it, Brian.
[120.48s -> 125.68s]  So like what you have going on, like I'll start off by saying like what you have going
[125.68s -> 128.16s]  on right now is like the most like.
[129.16s -> 129.96s]  Just like.
[131.08s -> 134.84s]  Way of like talking about like life and sports and.
[135.84s -> 140.00s]  Everything else that comes with, you know, being like an athlete and I really appreciate
[140.00s -> 141.88s]  it and I love you to death and.
[143.12s -> 145.36s]  Yeah, I'm just super grateful for you.
[145.64s -> 146.40s]  Awesome, man.
[146.40s -> 147.88s]  Yeah, nothing but authenticity here.
[147.88s -> 151.44s]  So it's just the only way I know how to talk about things and so that's how we do it.
[151.44s -> 156.16s]  Yeah, but yeah, dude, I mean, I know you pretty well over these last like 10 months.
[156.16s -> 160.40s]  But I don't know much about who you were as a kid, you know, where you grew up, family
[160.40s -> 164.08s]  life, things like that sports like you kind of know the drill here.
[164.08s -> 167.12s]  What what was young Johnny like and what was he getting into?
[167.60s -> 173.52s]  Well, OK, so I grew up in this super small town in Congress, Arizona, like.
[174.76s -> 176.64s]  Nobody knows Congress, Arizona.
[177.60s -> 180.52s]  Population size of like maybe 700 people.
[180.52s -> 184.72s]  So, OK, yeah, and like where in relation to that?
[184.72s -> 188.84s]  And like where in relation to Tucson where you're at now is this is this like it's like
[188.84s -> 192.16s]  three over three hours away for sure.
[192.16s -> 193.12s]  It's right between.
[194.64s -> 195.76s]  Phoenix and Prescott.
[196.68s -> 200.64s]  If that gives you like any I got you that direction, actually, OK, yeah, got it.
[200.64s -> 200.92s]  So.
[202.44s -> 203.40s]  Super small town.
[204.36s -> 205.84s]  Both of my parents are from Mexico.
[206.48s -> 212.08s]  And grew up not knowing any English, so my English sucks, that's why.
[212.68s -> 219.68s]  But yeah, just growing up in a super small town with my brother and usually like, you
[219.68s -> 222.08s]  know, falling in his foot step, like whatever he was doing.
[223.24s -> 225.24s]  Outside all the time, constantly like.
[226.24s -> 227.52s]  I would come home from school.
